#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.742708E-04   0.197864E+08   0.197864E+08   0.256845E+08   0.256834E+08   0.197867E+08   0.197864E+08   0.197864E+08   0.197929E+08  -0.473083E+00   0.104464E+08   0.104464E+08   0.413766E-01
   0.103653E-03   0.197852E+08   0.197852E+08   0.250376E+08   0.250357E+08   0.197837E+08   0.197852E+08   0.197852E+08   0.197915E+08  -0.473047E+00   0.104458E+08   0.104458E+08   0.576763E-01
   0.144660E-03   0.197829E+08   0.197829E+08   0.238202E+08   0.238167E+08   0.197778E+08   0.197828E+08   0.197829E+08   0.197888E+08  -0.472978E+00   0.104446E+08   0.104446E+08   0.803076E-01
   0.201889E-03   0.197784E+08   0.197784E+08   0.216035E+08   0.215975E+08   0.197665E+08   0.197783E+08   0.197784E+08   0.197838E+08  -0.472845E+00   0.104421E+08   0.104421E+08   0.111584E+00
   0.281759E-03   0.197698E+08   0.197698E+08   0.178215E+08   0.178125E+08   0.197446E+08   0.197697E+08   0.197698E+08   0.197742E+08  -0.472595E+00   0.104375E+08   0.104375E+08   0.154445E+00
   0.393226E-03   0.197535E+08   0.197535E+08   0.121606E+08   0.121508E+08   0.197025E+08   0.197533E+08   0.197535E+08   0.197564E+08  -0.472133E+00   0.104288E+08   0.104288E+08   0.212348E+00
   0.548791E-03   0.197235E+08   0.197235E+08   0.570334E+07   0.569982E+07   0.196231E+08   0.197230E+08   0.197235E+08   0.197245E+08  -0.471317E+00   0.104126E+08   0.104126E+08   0.288972E+00
   0.765900E-03   0.196698E+08   0.196697E+08   0.167506E+07   0.167950E+07   0.194759E+08   0.196689E+08   0.196698E+08   0.196693E+08  -0.469942E+00   0.103836E+08   0.103836E+08   0.388240E+00
   0.106890E-02   0.195779E+08   0.195777E+08   0.938333E+06   0.934416E+06   0.192117E+08   0.195762E+08   0.195778E+08   0.195764E+08  -0.467689E+00   0.103343E+08   0.103343E+08   0.515810E+00
   0.149177E-02   0.194262E+08   0.194260E+08   0.231587E+06   0.223402E+06   0.187593E+08   0.194232E+08   0.194262E+08   0.194232E+08  -0.464017E+00   0.102534E+08   0.102534E+08   0.680160E+00
   0.208193E-02   0.191840E+08   0.191836E+08  -0.106689E+06  -0.106689E+06   0.180454E+08   0.191788E+08   0.191840E+08   0.191788E+08  -0.458170E+00   0.101246E+08   0.101246E+08   0.891355E+00
   0.290557E-02   0.188108E+08   0.188099E+08  -0.537118E+05  -0.537120E+05   0.170248E+08   0.188026E+08   0.188107E+08   0.188026E+08  -0.449179E+00   0.992622E+07   0.992622E+07   0.116185E+01
   0.405505E-02   0.182593E+08   0.182576E+08  -0.267742E+05  -0.267743E+05   0.156825E+08   0.182475E+08   0.182591E+08   0.182474E+08  -0.435915E+00   0.963362E+07   0.963360E+07   0.150625E+01
   0.419250E-02   0.181925E+08   0.181906E+08  -0.249566E+05  -0.249567E+05   0.155294E+08   0.181802E+08   0.181922E+08   0.181802E+08  -0.434308E+00   0.959816E+07   0.959814E+07   0.154536E+01
   0.433460E-02   0.181233E+08   0.181213E+08  -0.232592E+05  -0.232592E+05   0.153728E+08   0.181106E+08   0.181230E+08   0.181106E+08  -0.432645E+00   0.956148E+07   0.956146E+07   0.158538E+01
   0.448152E-02   0.180517E+08   0.180496E+08  -0.216741E+05  -0.216741E+05   0.152122E+08   0.180386E+08   0.180514E+08   0.180386E+08  -0.430925E+00   0.952354E+07   0.952352E+07   0.162633E+01
   0.463343E-02   0.179777E+08   0.179754E+08  -0.201939E+05  -0.201940E+05   0.150484E+08   0.179642E+08   0.179774E+08   0.179642E+08  -0.429147E+00   0.948432E+07   0.948429E+07   0.166822E+01
